metric,ไม่ใช้ TTA,TTA x5,Δ (pp)
Accuracy,0.9275092936802974,0.949814126394052,2.2304832713754608
Macro-F1,0.9036753603208633,0.9350341257109027,3.1358765390039456
Balanced Acc,0.9092592592592593,0.9407407407407408,3.1481481481481444
Tail Recall,0.0,0.0,0.0
Head Recall,0.0,0.0,0.0
