stage,epoch,train_loss,train_acc,val_loss,lr,accuracy,macro_f1,weighted_f1,balanced_accuracy,macro_precision,macro_recall,top5_accuracy,head_recall,mid_recall,tail_recall
1,1,4.7189152081807455,0.31302083333333336,1.6823370221822236,0.0001,0.8066914498141264,0.7652987126735251,0.794469196124932,0.790542328042328,0.7940818696247588,0.790542328042328,0.9247211895910781,0.0,0.8098639455782314,0.7493788819875775
1,2,4.343467211723327,0.34097222222222223,1.4694393895372582,9.701478472890248e-05,0.8587360594795539,0.8127323379329267,0.8572186208396609,0.831437389770723,0.8217156459910833,0.831437389770723,0.9600371747211895,0.0,0.8656462585034015,0.7585576259489303
1,3,4.1195943938361275,0.3567708333333333,1.3795100649936491,8.84191999343894e-05,0.8856877323420075,0.8491684201025276,0.8900601329923957,0.8561067019400352,0.8669696518997428,0.8561067019400352,0.9693308550185874,0.0,0.8942176870748298,0.7749137336093858
1,4,3.9553396887249415,0.3706597222222222,1.3656145613432817,7.525e-05,0.8977695167286245,0.8678300326893889,0.9002937724935369,0.87010582010582,0.8843291740457854,0.87010582010582,0.9739776951672863,0.0,0.9023809523809524,0.8013457556935818
1,5,3.7484780073165895,0.3939236111111111,1.3574709169926698,5.909558479451306e-05,0.9107806691449815,0.8781181996590826,0.9133276797852496,0.8850529100529099,0.8891354270809665,0.8850529100529099,0.9767657992565055,0.0,0.914625850340136,0.8220496894409939
1,6,3.826372657881843,0.39045138888888886,1.3515959703346168,4.190441520548695e-05,0.9117100371747212,0.8862076000608243,0.9139853936922591,0.8855930335097002,0.9006876704946207,0.8855930335097002,0.9786245353159851,0.0,0.9156462585034014,0.8215665976535541
1,7,3.8161062876383465,0.38836805555555554,1.3456091730124888,2.5750000000000013e-05,0.9117100371747212,0.8842253219270054,0.9135225400079665,0.8848985890652558,0.8986645077744583,0.8848985890652558,0.9814126394052045,0.0,0.9166666666666666,0.8172187715665977
1,8,3.7226466549767387,0.40694444444444444,1.3440470713221895,1.2580800065610596e-05,0.9163568773234201,0.8913926607785361,0.9178065674985764,0.8935956790123455,0.9023907981671103,0.8935956790123455,0.983271375464684,0.0,0.9197278911564625,0.8379227053140097
1,9,3.6654020071029665,0.4203125,1.3507957476222383,3.985215271097538e-06,0.9089219330855018,0.8806387964705625,0.9102094072700178,0.8815255731922398,0.894760515926162,0.8815255731922398,0.9814126394052045,0.0,0.914625850340136,0.8110075914423741
1,10,3.6307099209891427,0.42586805555555557,1.3460365724386336,1e-06,0.9117100371747212,0.8904284613660312,0.9130109992665165,0.8908179012345678,0.9017393312702681,0.8908179012345678,0.9795539033457249,0.0,0.9136054421768707,0.8422705314009662
2,1,3.341264094246758,0.46197916666666666,1.345973478373985,0.0002,0.9191449814126395,0.8918480312099428,0.9202149018824242,0.8998456790123457,0.8958874999049766,0.8998456790123457,0.983271375464684,0.0,0.9197278911564625,0.8574879227053139
2,2,3.281208027733697,0.46684027777777776,1.360550050398674,0.0001708571247280615,0.9237918215613383,0.8983763597708422,0.9235325734006541,0.901388888888889,0.9061476388495784,0.901388888888889,0.9851301115241635,0.0,0.9248299319727891,0.8514492753623187
2,3,3.221581705411275,0.4739583333333333,1.359585958785727,0.00010049999999999999,0.9228624535315985,0.8987250951011462,0.9227173902582158,0.9034722222222222,0.9043926727668933,0.9034722222222222,0.9842007434944238,0.0,0.9227891156462585,0.8623188405797101
2,4,3.208162432246738,0.4765625,1.3624914445841623,3.0142875271938532e-05,0.9275092936802974,0.9037884549872016,0.9285322776691192,0.9092592592592593,0.9087293943872893,0.9092592592592593,0.9860594795539034,0.0,0.9261904761904762,0.8731884057971014
2,5,3.1675189230177137,0.48020833333333335,1.3619383214574765,1e-06,0.9265799256505576,0.9036176457413259,0.9268309825470739,0.909027777777778,0.9075399063876652,0.909027777777778,0.9869888475836431,0.0,0.9258503401360543,0.8731884057971014
